model	nDCG	Gini	EPC
ItemKNN_nn=8_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0744518779650762	0.0909765520269715	0.0702528343928239
ItemKNN_nn=291_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0853573145341294	0.055768091587905	0.0779377558318668
ItemKNN_nn=413_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0889198588720731	0.0480181427820485	0.0799986031727053
ItemKNN_nn=400_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.088460169493164	0.0487169481113056	0.0796349271683443
ItemKNN_nn=447_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0889387982854196	0.0463304354985462	0.0797445742755859
ItemKNN_nn=457_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0889885746293596	0.0458712082028845	0.0797207277490201
ItemKNN_nn=529_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0893064520309735	0.0427747331043495	0.079949376759502
ItemKNN_nn=518_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0890116229792614	0.0432679068667706	0.079746825375693
ItemKNN_nn=545_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0894368072586687	0.0421895787724804	0.0801977070254583
ItemKNN_nn=585_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0896429750351164	0.040664415531775	0.08013980006181
ItemKNN_nn=618_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0900613213014688	0.0394133362325755	0.080557382526897
ItemKNN_nn=735_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0905135947926759	0.0361805791588116	0.0806564851136616
ItemKNN_nn=800_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0906618535191448	0.0345519826383247	0.0805770946321916
